,Little interest or pleasure,"Feeling down, depressed, or hopeless, Advice related",Small or too much sleep,Tired or little energy or Time related,Poor appetite or overeating,Feeling or emotion words (-ve),"Concentration trouble, addiction ","Moving or speaking very slowly, restless","Pain, hurt or death"
0,higher_libido,depression,sleep,new_exhaust,diet,guilt,meditation,anxiety,self_injury
1,libido,long_hope,sleep_falling_lucid,shitty_ebay_exhaust,setting_puking_starving,feel,memories,panic_attack,suicides
2,late_night_horniness,hope,just_dreaming_lucid,careers_forget_energy,dietician_surgeon_choice,negative_emotion,brain,cigs_time_biting,scars
3,libidos,hopes,lucid_dreaming_sessions,early_childhood_nope,underwent_gastric,more_guilt,inability,routine_changed_oily,meds_cutting
4,libido_yes,reincarnation,lucid_dreaming,childhood,poop_come_slightly,much_guilt,attention,panic,self_destruction
5,serious_nsfw,want,lucid_dreams,past,diets_decided_plunge,emotion,recall,impulses,attention_scars
6,nudity,much_help_yea,first_lucid_dreams,early_childhood,leave_terrible_stomach,self_underlying_problem,doubt,first_impulses,scar
7,sexual_exploration,help,dreaming,time,stopped_eating_fast,hate,inability_know_react,nail_biting_habit,hurting
8,sex_life_nsfw,much_help,dream,year,psychologist_dietician,own_stupidity,just_inability,nail_biting,cutting
9,foreplay_stuff,sorry_long_hope,lucid_dreaming_sessions,child,stool_averaged_hours,insecure,brain_guess_better,nervous_hey,cut
10,affair_doing_sex,same_problem,dreaming_started,school,feel_better_eat,dirty_fucking_bama_players,able,led_having_panic,cuts
11,late_horny_loneliness,problem,dreaming_intentionally,years,congratulations_diet_consists,hard,learn,biting_stressing_need,hurt
12,dreams_like_sex,problems,aware_dream_feel,evenings,weight_diagnosed,attack,misconception,decline_walking_dead,pain
13,avoid_kind_porn,situation,safe_strange_dreams,regular_days,know_gastric_sleeve,fire,reality,started_waking,razors_knives
14,pleasure_transitioning_real,helped_despite_youth,body_transitioning_sleep,daily_basis,awhile_grossed_weight,screw,attention_card,going_proactive_fix,own_hands
15,unusual_kink_nsfw,death_grips,dream_feel_body,hurting_hiding_year,diets_worked,thank,open_minds,straps_kind_uncomfortable,razors
16,race_orgasm,inactivity,strange_dreams_hand,think_years,better_having_fat,sorry,self_illusion_concerned,,nails
17,losses_watching_girls,hard,just_dreaming,began_early_childhood,immensely_try_eat,nope,depressed_currently_struggling,,razor
18,packages_titillating_undergarments,traumatic_wanted_help,dreams_like_sex,days_doing_normal,healthy_eating_exercise,way_thanks,obviously_reasoning_levels,,damage
19,doors_lingerie_good,need_support_talk,happens_fall_asleep,absurdly_curious_past,eating_clean_depression,stupid_humor,getting_self_able,,burning
20,male_stripper_works,reincarnation_discussed,sleep_state,past_trying,patients_stomach_people,humor,venting_think_freak,,death
21,mature_great_regulars,develop_deck_worries,fall_asleep_trying,decade_psychiatric_community,eaten_feels_different,stupidity,memory_ability_read,,injury
22,sing_hobby_adult,leaving_unable_cope,hours_sleep_falling,childhood_abuse_coped,loose_skin_just,damn,denature_weed_addictive,,damaging_thing
23,surge_ovulating_today,ea_hoping_soe,dream_setlist_reunion,suicides_school_years,tummy_works_probably,hell,problem_addiction_hard,,knives
24,overclocking_yes_interested,waking_hours_sleep,alchemist_brotherhood_dreams,holiday_blotting_reapplying,night_stomach,fire_puking,alcohol,,destruction
25,having_lovegasms_opposed,therapist_felt_open,separate_lucid,dayz_sa_got,craved_control_god,nothing,other_things_alcohol,,doctors
26,disinterested_treats,therapist_hope_works,falling_lucid,festival,multiple_different_diets,pride,porn_addiction,,self_harm_ni
27,idea_pleasure_feels,want_disagreements_problems,,exchanged_gel_days,weight_savings_significant,love,tobacco,,self_harm_nsorry
28,,drew_deep_sea,,day_force_therapist,end_eating_way,wrongs,just_addicted_really,,suicide_methods_ni
29,,seeked_professional_help,,therapists_month_wait,nope_taste_like,self_esteem_low,personality,,last_major_self_harming_session
30,,help_taking,,,jam_eater_blues,fuck,addictive_personality,,recent_suicide_attempt
31,,leaving_unable,,,look_weight_girl,awkward_funny_sexual_experiences,addiction,,suicide_attempt
32,,looking_feedback_beat,,,malazan_anime,dirty_motherfucker_refs,watercolor_illustration_mind,,self_harm_something
33,,signs_hahaha_reassuring,,,getting_jam_eater,dark_sun,life_strange_memorabilias,,self_mutilation
34,,mindcrack_comments,,,eating_day_worry,awkward_funny_sexual_experience,self_confidence,,self_harm_nmy_mum
35,,symbol_think_jesus,,,,usual_mormon_bullshit,self confidence,,proper_suicide_attempt
36,,newest_cat_daisy,,,,jealousy,,,suicide_ni
37,,shadow_priest,,,,people_hurting_far,,,self_harming
38,,considered_religious_symbol,,,,violent_stories,,,self_harm
39,,cabal_shadow_priest,,,,horror_films,,,nmy_self_harm
40,,religious_symbol_think,,,,awesome_japanese_torture_movie,,,suicidal_ni
41,,vs_hardcore_monotheism,,,,asian_horror,,,perfect_suicide_method
42,,thornhill_masonic_temple,,,,extroverted_teacher_friends,,,suicide_methods
43,,way_principles_gospel,,,,shit_ton_jericho,,,different_suicide_methods
44,,lay_holy_words,,,,disrespectful_teacher,,,think_feel_cut
45,,night_vale_fan_theories,,,,dark_souls,,,believe_hurt_self
46,,night_vale_theories,,,,paranoid_thoughts_feelings,,,guilt_plus_suicides
47,,wish_release_similar,,,,disgusting_butt_stuff_mishap_nsfw,,,therapy_cut_anymore
48,,survival_game_blew,,,,nworst_match,,,guilt_plus_suicides
49,,tied_medication_forever,,,,worst_match,,,suicides_school_years
50,,want_fiesta_focus,,,,darkness,,,cuts_happened_scar
51,,want_complete_commitment,,,,dark_souls_solaire,,,feel_pain
52,,try_avoid_holiday,,,,bullshit_calls,,,impulses_hurt
53,,looking_advice_pm,,,,boring_episode,,,points_thought_death
54,,medical_advice_thanks,,,,psycho,,,damage_causes_community
55,,addiction_thank_advice,,,,bad_acne,,,scars_used_stimulate
56,,fix_issues_phone,,,,weird_dressing_room_picture,,,cutting_outlet_anxiety
57,,nany_advice_appreciated,,,,positive_thoughts,,,need_self_destruction
58,,teacher_advice_thank,,,,emotion,,,blood_pain
59,,days_advice_help,,,,therapy_good_thank,,,started_hurting
60,,say_thank_advice,,,,felt_felt_guilty,,,problems_cutting
61,,thanks_support_today,,,,cared_way_guilt,,,proud_scar_pride
62,,infected_advice_bad,,,,scar_sorry,,,cut_anymore_attention
63,,advice_help_hypomania,,,,memories_childhood_bad,,,cutting_past
64,,advice_bpd_therapy,,,,little_scars_shameful,,,knives_nails_nervous
65,,advice_treatment_psychiatrist,,,,sit_anxious_hate,,,explain_reason_hurt
66,,try_kidnapping_edit,,,,damaging_thing_experienced,,,learn_pain_want
67,,google_psychopath_definitely,,,,worsening,,,post_ask_cuts
68,,pills_gave_hope,,,,worsening_conditioning_circle,,,injury_engaged
69,,tried_make_stories,,,,throw_away,,,burning
70,,away_peace_guys,,,,experience_jealousy_friends,,,child_cutting_point
71,,tips_dealing_sex,,,,fuck_insecure,,,hurting_razor_migrated
72,,instead_smoking_falls,,,,bad_somewhat,,,cut_kind
73,,cope_depression_suppress,,,,frustrating_churches_mormon,,,insecure_scars_thighs
74,,leave_therapy,,,,negative,,,point_cut_deep
75,,make_change_lifestyle,,,,dreams_health_questions,,,hurting_hiding_year
76,,make_incredibly_daunting,,,,shameful_just,,,method_hurt_oh
77,,just_enjoy_time,,,,despite_love_need,,,destructive_attempt_avoid
78,,goal_just_depression,,,,sorry_came,,,serves_cut_lot
79,,stop_feeling_self,,,,pride_fades_just,,,death
80,,definitely_help_motivated,,,,hate_way_easier,,,actually_cutting_doubt
81,,know_care_problem,,,,reaction,,,satisfying_pulling_hair
82,,take_care,,,,blame,,,hair_burning_types
83,,care,,,,lot_repressed,,,knives
84,,just_care_feud,,,,elaborate_little_sorry,,,screw
85,,talk_self_care,,,,implications_effected_way,,,hurt_knowing_doing
86,,events_make_depressed,,,,think_beautiful_ruined,,,ruined_hands
87,,start_beating_mums,,,,vocalize_felt_felt,,,migrated_hurt_knowing
88,,feel_bring_conversation,,,,reality_just_blood,,,did_time_hurt
89,,like_make_friends,,,,dead_brother_narcissistic,,,know_damage_causes
90,,improve_longevity_rotors,,,,hospital_bad_experiences,,,years_know_damage
91,,mirror_makes,,,,vacation_jealous_having,,,help_self_harm
92,,develop_good_sense,,,,harassed_demanding_forgiveness,,,therapist_suicide
93,,learn_lot_therapy,,,,unlocked_scenario_locked,,,feel_tie_clips
