,Little interest or pleasure,"Feeling down, depressed, or hopeless, Advice related",Small or too much sleep,Tired or little energy or Time related,Poor appetite or overeating,Feeling or emotion words (-ve),"Concentration trouble, addiction ","Moving or speaking very slowly, restless","Pain, hurt or death","Talking disease symptoms, diagnosis",Antidepressants,Relationship related
0,higher_libido,depression,sleep,new_exhaust,diet,guilt,meditation,anxiety,self_injury,therapy,endorphins,self
1,libido,long_hope,sleep_falling_lucid,shitty_ebay_exhaust,setting_puking_starving,feel,memories,panic_attack,suicides,genetics,zoloft,guess
2,late_night_horniness,hope,just_dreaming_lucid,careers_forget_energy,dietician_surgeon_choice,negative_emotion,brain,cigs_time_biting,scars,diagnosis,prozac,parents
3,libidos,hopes,lucid_dreaming_sessions,early_childhood_nope,underwent_gastric,more_guilt,inability,routine_changed_oily,meds_cutting,week_therapy,anti_psychotics,abusive_mother
4,libido_yes,reincarnation,lucid_dreaming,childhood,poop_come_slightly,much_guilt,attention,panic,self_destruction,therapist,weed,abusive_parents
5,serious_nsfw,want,lucid_dreams,past,diets_decided_plunge,emotion,recall,impulses,attention_scars,anxiety,taking_yes_antidepressants,toxic_alcoholic_abusive_parents
6,nudity,much_help_yea,first_lucid_dreams,early_childhood,leave_terrible_stomach,self_underlying_problem,doubt,first_impulses,scar,therapies,prescription,gore_porn_child_abuse_animal_abuse_racist_ideology
7,sexual_exploration,help,dreaming,time,stopped_eating_fast,hate,inability_know_react,nail_biting_habit,hurting,therapist_weekly,help_taking_lexapro,toxic_parents
8,sex_life_nsfw,much_help,dream,year,psychologist_dietician,own_stupidity,just_inability,nail_biting,cutting,hospitalization,lexapro,attention_parents
9,foreplay_stuff,sorry_long_hope,lucid_dreaming_sessions,child,stool_averaged_hours,insecure,brain_guess_better,nervous_hey,cut,many_therapies,dose_mgs_taking,parents_hell
10,affair_doing_sex,same_problem,dreaming_started,school,feel_better_eat,dirty_fucking_bama_players,able,led_having_panic,cuts,something_genetics,prozac_did,child_pain_issues
11,late_horny_loneliness,problem,dreaming_intentionally,years,congratulations_diet_consists,hard,learn,biting_stressing_need,hurt,nmy_therapy,antidepressants_,know_treat_child
12,dreams_like_sex,problems,aware_dream_feel,evenings,weight_diagnosed,attack,misconception,decline_walking_dead,pain,online_diagnosis,switching_meds_make,attack_deny_child
13,avoid_kind_porn,situation,safe_strange_dreams,regular_days,know_gastric_sleeve,fire,reality,started_waking,razors_knives,treat,meds_kicking_week,death_lot_brothers
14,pleasure_transitioning_real,helped_despite_youth,body_transitioning_sleep,daily_basis,awhile_grossed_weight,screw,attention_card,going_proactive_fix,own_hands,meds,medication_prozac,sign_family_refusing
15,unusual_kink_nsfw,death_grips,dream_feel_body,hurting_hiding_year,diets_worked,thank,open_minds,straps_kind_uncomfortable,razors,causes,,suspended_did_parents
16,race_orgasm,inactivity,strange_dreams_hand,think_years,better_having_fat,sorry,self_illusion_concerned,,nails,cough_hardyz_cough,,abusive_mother_contact
17,losses_watching_girls,hard,just_dreaming,began_early_childhood,immensely_try_eat,nope,depressed_currently_struggling,,razor,schizophrenia,,plan_parents_divorced
18,packages_titillating_undergarments,traumatic_wanted_help,dreams_like_sex,days_doing_normal,healthy_eating_exercise,way_thanks,obviously_reasoning_levels,,damage,family_therapy,,brother_mother_absence
19,doors_lingerie_good,need_support_talk,happens_fall_asleep,absurdly_curious_past,eating_clean_depression,stupid_humor,getting_self_able,,burning,weight_loss,,care_parents_need
20,male_stripper_works,reincarnation_discussed,sleep_state,past_trying,patients_stomach_people,humor,venting_think_freak,,death,psychotic_depression,,father_bipolar_enrolled
21,mature_great_regulars,develop_deck_worries,fall_asleep_trying,decade_psychiatric_community,eaten_feels_different,stupidity,memory_ability_read,,injury,severe_mental_illness,,mother_suicide_plan
22,sing_hobby_adult,leaving_unable_cope,hours_sleep_falling,childhood_abuse_coped,loose_skin_just,damn,denature_weed_addictive,,damaging_thing,therapy_sessions,,view_nif_parents
23,surge_ovulating_today,ea_hoping_soe,dream_setlist_reunion,suicides_school_years,tummy_works_probably,hell,problem_addiction_hard,,knives,individual_therapy,,self_look_self
24,overclocking_yes_interested,waking_hours_sleep,alchemist_brotherhood_dreams,holiday_blotting_reapplying,night_stomach,fire_puking,alcohol,,destruction,natural_weight_loss,,dad_depressive_episodes
25,having_lovegasms_opposed,therapist_felt_open,separate_lucid,dayz_sa_got,craved_control_god,nothing,other_things_alcohol,,doctors,schizophrenics,,family_sober_medicated
26,disinterested_treats,therapist_hope_works,falling_lucid,festival,multiple_different_diets,pride,porn_addiction,,self_harm_ni,antidepressants,,sad_realise_family
27,idea_pleasure_feels,want_disagreements_problems,,exchanged_gel_days,weight_savings_significant,love,tobacco,,self_harm_nsorry,mental_hospital,,dad_looked_cds
28,,drew_deep_sea,,day_force_therapist,end_eating_way,wrongs,just_addicted_really,,suicide_methods_ni,psychotic_depression,,friends_just
29,,seeked_professional_help,,therapists_month_wait,nope_taste_like,self_esteem_low,personality,,last_major_self_harming_session,dissociative_identity_disorder,,harmed_friendships_therapy
30,,help_taking,,,jam_eater_blues,fuck,addictive_personality,,recent_suicide_attempt,disorder,,fake_na_friendship
31,,leaving_unable,,,look_weight_girl,awkward_funny_sexual_experiences,addiction,,suicide_attempt,own_mental_illnesses,,real_friendships
32,,looking_feedback_beat,,,malazan_anime,dirty_motherfucker_refs,watercolor_illustration_mind,,self_harm_something,mental_illness,,friendship_uk_seeking
33,,signs_hahaha_reassuring,,,getting_jam_eater,dark_sun,life_strange_memorabilias,,self_mutilation,mental_illnesses_depression,,stay_friends_poop
34,,mindcrack_comments,,,eating_day_worry,awkward_funny_sexual_experience,self_confidence,,self_harm_nmy_mum,borderline_terminology,,try_make_friends
35,,symbol_think_jesus,,,,usual_mormon_bullshit,self confidence,,proper_suicide_attempt,behavioral_therapy,,make_friends_college
36,,newest_cat_daisy,,,,jealousy,,,suicide_ni,free_therapists,,having_friends_naturally
37,,shadow_priest,,,,people_hurting_far,,,self_harming,mental_illnesses,,lazy_teachers_think
38,,considered_religious_symbol,,,,violent_stories,,,self_harm,therapy,,teacher_student_relationships
